    Bkg     Am     Cs     Co
    0   0.0353  0.1496  0.395
    0   0.0506  0.1571  0.4293
    0   0.0515  0.1385  0.4227
    0   0.0582  0.1364  0.4236
    0   0.0582  0.1388  0.424
    0   0.0717  0.1376  0.4341
    0   0.0966  0.159   0.4406
    0   0.0862  0.1458  0.4292
    0   0.0779  0.1495  0.4316
    0   0.1002  0.1569  0.4292
    0   0.1031  0.157   0.435
    0   0.1167  0.1465  0.4416
    0   0.1174  0.1549  0.4413
    0   0.113   0.1659  0.4447
    0   0.1262  0.1683  0.4554
    0   0.1078  0.1479  0.4211
    0   0.1085  0.1525  0.4315
    0   0.1067  0.1493  0.4267
    0   0.0887  0.1183  0.3871
    0   0.082   0.1066  0.3798
    0   0.067   0.0978  0.3799
    0   0.0783  0.1159  0.4
    0   0.0657  0.1373  0.397
    0   0.0781  0.1719  0.4125
    0   0.0601  0.1519  0.3829
    0   0.0322  0.135   0.3762
    0   0.033   0.1419  0.3795
    0   0.0586  0.1759  0.3828
    0   0.0423  0.1655  0.3697
    0   0.0292  0.1606  0.3832
    0   0.0149  0.1418  0.3545
    0   0       0.1379  0.3602
    0   0.016   0.14    0.392
    0   0.0251  0.1632  0.4017
    0   0.0084  0.1519  0.3671
    0   0.0088  0.136   0.3596
    0   0.0183  0.1416  0.3744
    0   0.0427  0.1706  0.3602
    0   0.06    0.185   0.37
    0   0.0777  0.2124  0.3886
    0   0.0973  0.2324  0.3622
    0   0.0884  0.2099  0.3591
    0   0.0862  0.2241  0.3506
    0   0.1084  0.253   0.3795
    0   0.0938  0.2563  0.3563
    0   0.125   0.2763  0.375
    0   0.1301  0.2945  0.363
    0   0.1418  0.3191  0.3688
    0   0.1481  0.3185  0.3778
    0   0.1145  0.2824  0.3588
    0   0.127   0.2698  0.3651
    0   0.1322  0.2727  0.3719
    0   0.177   0.3186  0.3894
    0   0.2037  0.287   0.4074
    0   0.1792  0.2453  0.3396
    0   0.1078  0.2353  0.3529
    0   0.1739  0.3261  0.4239
    0   0.1954  0.3563  0.4253
    0   0.2716  0.3951  0.4815
    0   0.32    0.4533  0.4933
    0   0.3143  0.5     0.5429
    0   0.2609  0.4493  0.4783
    0   0.2656  0.4531  0.5156
    0   0.2419  0.4194  0.4677
    0   0.25    0.4167  0.4333
    0   0.2105  0.4211  0.3333
    0   0.2642  0.3585  0.3962
    0   0.2308  0.25    0.3654
    0   0.2791  0.2791  0.6279
    0   0.2821  0.2821  0.7436
    0   0.3333  0.2778  0.6389
    0   0.7692  0.6538  1.1538
    0   1.0455  0.5455  1.0909
    0   1.05    0.55    0.85
    0   0.8     0.5     0.6
    0   0.8889  0.5     0.6667
    0   0.9375  0.4375  0.625
    0   1       0.2857  0.7143
    0   0.6923  0.0769  0.4615
    0   1       0.375   0.625
    0   0.375   0.125   0.375
    0   1.6667  1.3333  0.6667
    0   3       2       2

 
